,,Concentration (µg éq.STX diHCl/kg fraction),,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,Masse éch extrait (g),Volume total d'extract° (mL),C1,C2,C3,C4,GTX1,GTX4,GTX2,GTX3,dc-GTX2,dc-GTX3,GTX5,GTX6,Néo STX,dc-STX,STX,dc-Neo,doSTX,,SUM (µg éq.STX diHCl/kg fraction),Poids animal (g),Sex,Nb mussel consummed
378_Spider crab Epidermis t=72h depu 15,Epidermis,0.503326217,4,0.196427234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.196427234,,,
384_Spider crab Epidermis t=72h depu 16,Epidermis,0.29695554,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
306_Spider crab Gills t=24h expo 1,Gills,0.500350129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
311_Spider crab Gills t=24h expo 2,Gills,0.512809316,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
316_Spider crab Gills t=24h expo 3,Gills,0.502130988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
321_Spider crab Gills t=24h expo 4,Gills,0.507752255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
326_Spider crab Gills t=72h expo 5,Gills,0.507377039,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
331_Spider crab Gills t=72h expo 6,Gills,0.503431835,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
336_Spider crab Gills t=72h expo 7,Gills,0.50041002,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
341_Spider crab Gills t=72h expo 8,Gills,0.500003086,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
346_Spider crab Gills t=24h depu 9,Gills,0.49620505,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
351_Spider crab Gills t=24h depu 10,Gills,0.499364743,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
357_Spider crab Gills t=24h depu 11,Gills,0.499427663,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
363_Spider crab Gills t=24h depu 12,Gills,0.49838341,4,,,,,,,,,,,,,,,,,,,,,,
368_Spider crab Gills t=72h depu 13,Gills,0.497143042,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
373_Spider crab Gills t=72h depu 14,Gills,0.501500037,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
379_Spider crab Gills t=72h depu 15,Gills,0.235417879,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
385_Spider crab Gills t=72h depu 16,Gills,0.496417417,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
355_Spider crab Spider crab Gonads t=24h depu 10,Gonads,0.499211179,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
361_Spider crab Spider crab Gonads t=24h depu 11,Gonads,0.502231254,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
377_Spider crab Spider crab Gonads t=72h depu 14,Gonads,0.50067969,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
383_Spider crab Spider crab Gonads t=72h depu 15,Gonads,0.498475662,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
308_Spider crab Muscle body t=24h expo 1,Muscle,0.506514724,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
313_Spider crab Muscle body t=24h expo 2,Muscle,0.510338228,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
318_Spider crab Muscle body t=24h expo 3,Muscle,0.510484645,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
323_Spider crab Muscle body t=24h expo 4,Muscle,0.488660218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
328_Spider crab Muscle body t=72h expo 5,Muscle,0.496660127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
333_Spider crab Muscle body t=72h expo 6,Muscle,0.069110137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
338_Spider crab Muscle body t=72h expo 7,Muscle,0.512214105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
343_Spider crab Muscle body t=72h expo 8,Muscle,0.503566815,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
348_Spider crab Muscle body t=24h depu 9,Muscle,0.502549393,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
353_Spider crab Muscle body t=24h depu 10,Muscle,0.498115089,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
359_Spider crab Muscle body t=24h depu 11,Muscle,0.502218341,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
365_Spider crab Muscle body t=24h depu 12,Muscle,0.502151635,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
370_Spider crab Muscle body t=72h depu 13,Muscle,0.507788271,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
375_Spider crab Muscle body t=72h depu 14,Muscle,0.496012843,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
381_Spider crab Muscle body t=72h depu 15,Muscle,0.497387122,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
387_Spider crab Muscle body t=72h depu 16,Muscle,0.503778155,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
309_Spider crab Muscle leg t=24h expo 1,Muscle,0.50137284,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
314_Spider crab Muscle leg t=24h expo 2,Muscle,0.496731879,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
319_Spider crab Muscle leg t=24h expo 3,Muscle,0.504669743,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
324_Spider crab Muscle leg t=24h expo 4,Muscle,0.506094933,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
329_Spider crab Muscle leg t=72h expo 5,Muscle,0.571216719,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
334_Spider crab Muscle leg t=72h expo 6,Muscle,0.514263027,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
